"primaryName","birthYear","deathYear","nconst","nconst_short"
James B. Fagan,"1873","1933",nm0265023,nm0265023
Milton J. Fahrney,"1872","1941",nm0265289,nm0265289
Madeline Fairbanks,"1900","1989",nm0265479,nm0265479
Marion Fairbanks,"1900","1973",nm0265480,nm0265480
Virginia Fairfax,\N,\N,nm0265579,nm0265579
Geoffrey Faithfull,"1893","1979",nm0265714,nm0265714
August Falck,"1882","1938",nm0265890,nm0265890
Ugo Falena,"1875","1931",nm0266080,nm0266080
Norbert Falk,"1872","1932",nm0266183,nm0266183
Julius Falkenstein,"1879","1933",nm0266254,nm0266254
Dorothy Fane,"1889","1976",nm0266714,nm0266714
Richard Fantl,"1903","1961",nm0266933,nm0266933
Dot Farley,"1881","1971",nm0267638,nm0267638
William Farnum,"1876","1953",nm0267912,nm0267912
Dustin Farnum,"1874","1929",nm0267914,nm0267914
Franklyn Farnum,"1878","1961",nm0267916,nm0267916
Marshall Farnum,"1879","1917",nm0267922,nm0267922
Geraldine Farrar,"1882","1967",nm0268125,nm0268125
Howard Farrell,\N,\N,nm0268232,nm0268232
Adele Farrington,"1867","1936",nm0268422,nm0268422
Frank Farrington,"1873","1924",nm0268437,nm0268437
Reenie Farrington,"1897","1956",nm0268447,nm0268447
Nellie Farron,\N,\N,nm0268495,nm0268495
Claude Farrère,"1876","1957",nm0268559,nm0268559
Max Fassbender,"1868",\N,nm0268732,nm0268732
Martin Faust,"1886","1943",nm0269265,nm0269265
George Fawcett,"1860","1939",nm0269493,nm0269493
Hugh Fay,"1882","1926",nm0269572,nm0269572
Joseph C. Fay,\N,\N,nm0269582,nm0269582
Louise Fazenda,"1895","1962",nm0269771,nm0269771
Maude Fealy,"1883","1971",nm0269863,nm0269863
Jane Fearnley,"1880","1952",nm0269897,nm0269897
Charles Fechter,"1824","1879",nm0270007,nm0270007
Sári Fedák,"1879","1955",nm0270261,nm0270261
Charles E. 'Bunny' Feehan,"1870",\N,nm0270290,nm0270290
Frank Feehan,\N,\N,nm0270291,nm0270291
Friedrich Feher,"1889","1950",nm0270415,nm0270415
Gyula Fehér,"1879","1965",nm0270485,nm0270485
László Fekete,"1889","1947",nm0270858,nm0270858
Josep Feliú i Codina,"1845","1893",nm0271357,nm0271357
William Felton,"1850","1921",nm0271659,nm0271659
Paul L. Feltus,"1889","1971",nm0271668,nm0271668
Mathilde Felumb Friis,"1871","1945",nm0271679,nm0271679
Mark Fenton,"1866","1925",nm0272064,nm0272064
Helen Fergus,\N,\N,nm0272340,nm0272340
Nascimento Fernandes,"1881","1955",nm0272889,nm0272889
Adelardo Fernández Arias,\N,\N,nm0273205,nm0273205
Carlos Fernández Shaw,"1865","1911",nm0273338,nm0273338
Jules Ferrar,\N,\N,nm0273943,nm0273943
Lino Ferreira,"1884","1939",nm0274368,nm0274368
Louis Feuillade,"1873","1925",nm0275421,nm0275421
Erwin Fichtner,\N,\N,nm0275670,nm0275670
George Field,"1877","1925",nm0275941,nm0275941
Gladys Field,"1889","1920",nm0275943,nm0275943
Miss Fielding,\N,\N,nm0276160,nm0276160
Romaine Fielding,"1868","1927",nm0276165,nm0276165
Lew Fields,"1867","1941",nm0276300,nm0276300
Louis Fierce,"1852","1926",nm0276408,nm0276408
Shannon Fife,"1888","1972",nm0276501,nm0276501
Adolf Figman,\N,\N,nm0276577,nm0276577
Max Figman,"1861","1952",nm0276578,nm0276578
William Fildew,"1890","1943",nm0276862,nm0276862
Al W. Filson,"1857","1925",nm0277313,nm0277313
Mrs. A.W. Filson,"1859","1953",nm0277317,nm0277317
Flora Finch,"1867","1940",nm0277411,nm0277411
J. Findlay,\N,\N,nm0277534,nm0277534
Ned Finley,"1870","1920",nm0278062,nm0278062
Antonio Fino,\N,\N,nm0278321,nm0278321
Harry Fischbeck,"1879","1968",nm0278792,nm0278792
Carl Ferdinand Fischer,"1889","1957",nm0278843,nm0278843
Hugo Fischer,"1881","1941",nm0278956,nm0278956
Margarita Fischer,"1886","1975",nm0279038,nm0279038
Ulla Fischerström,"1909","1938",nm0279188,nm0279188
W.D. Fischter,\N,\N,nm0279227,nm0279227
Blanche Fisher,\N,\N,nm0279393,nm0279393
Bud Fisher,"1884","1954",nm0279404,nm0279404
Charles Fisher,\N,"1914",nm0279413,nm0279413
Edna Fisher,"1891","1978",nm0279475,nm0279475
George Fisher,"1891","1960",nm0279508,nm0279508
Harry Fisher,"1868","1923",nm0279530,nm0279530
Maggie Fisher,"1854","1938",nm0279656,nm0279656
Minnie Maddern Fiske,"1865","1932",nm0279957,nm0279957
Clyde Fitch,"1865","1909",nm0280003,nm0280003
Cissy Fitzgerald,"1873","1941",nm0280201,nm0280201
James A. Fitzgerald,"1880","1949",nm0280261,nm0280261
Lewin Fitzhamon,"1869","1961",nm0280432,nm0280432
George Fitzmaurice,"1885","1940",nm0280463,nm0280463
Bob Fitzsimmons,"1863","1917",nm0280615,nm0280615
John A. Fitzsimmons,\N,\N,nm0280628,nm0280628
Solborg Fjeldsøe Rasmussen,\N,\N,nm0280746,nm0280746
James Montgomery Flagg,"1877","1960",nm0280841,nm0280841
D.J. Flanagan,\N,\N,nm0281016,nm0281016
B.D. Flanders,\N,\N,nm0281125,nm0281125
Fred Fleck,"1892","1961",nm0281381,nm0281381
Carroll Fleming,"1861","1930",nm0281620,nm0281620
Caryl S. Fleming,"1890","1940",nm0281621,nm0281621
Victor Fleming,"1889","1949",nm0281808,nm0281808
John Fletcher,"1579","1625",nm0282040,nm0282040
Anne Crawford Flexner,"1874","1955",nm0282252,nm0282252
Hugo Flink,"1879","1947",nm0282348,nm0282348
G. Flinn,\N,\N,nm0282367,nm0282367
Paul Flon,"1898","1981",nm0282529,nm0282529
Florelle,"1898","1974",nm0282653,nm0282653
Flores,\N,\N,nm0282725,nm0282725
Edna Flugrath,"1892","1966",nm0283327,nm0283327
Emilie Flygare-Carlén,"1807","1892",nm0283393,nm0283393
Emmett J. Flynn,"1892","1937",nm0283444,nm0283444
Thomas Flynn,"1852","1926",nm0283636,nm0283636
Aladár Fodor,"1878","1918",nm0283766,nm0283766
Imre Földes,"1881","1958",nm0283802,nm0283802
Florence Foley,\N,\N,nm0284137,nm0284137
Alfredo Fontanals,"1882",\N,nm0284960,nm0284960
Courtenay Foote,"1878","1925",nm0285202,nm0285202
George Foottit,"1864","1921",nm0285242,nm0285242
Friedrich Forberg,\N,\N,nm0285280,nm0285280
Johnston Forbes-Robertson,"1853","1937",nm0285425,nm0285425
Dora Ford,\N,\N,nm0285619,nm0285619
Eddie Ford,\N,\N,nm0285627,nm0285627
Francis Ford,"1881","1953",nm0285643,nm0285643
Hugh Ford,"1868","1952",nm0285684,nm0285684
Lettie Ford,"1847","1936",nm0285751,nm0285751
Rae Ford,"1885","1925",nm0285834,nm0285834
Ray Ford,\N,\N,nm0285837,nm0285837
Eugenie Forde,"1879","1940",nm0285947,nm0285947
Victoria Forde,"1896","1964",nm0285961,nm0285961
Virginia Fordyce,"1911","1995",nm0286002,nm0286002
Grant Foreman,\N,\N,nm0286042,nm0286042
Louis Forestier,"1892","1954",nm0286189,nm0286189
Harry Forsman,"1867","1933",nm0286346,nm0286346
Tom Forman,"1893","1926",nm0286379,nm0286379
Karl Formes,"1841","1939",nm0286408,nm0286408
Allan Forrest,"1885","1941",nm0286594,nm0286594
Edwin Forsberg,"1872","1947",nm0286788,nm0286788
Blanche Forsythe,"1872","1953",nm0287085,nm0287085
Hattie Forsythe,\N,\N,nm0287097,nm0287097
Paul Fosse,"1885","1959",nm0287628,nm0287628
Edna Foster,"1900",\N,nm0287792,nm0287792
Fern Foster,"1885","1949",nm0287801,nm0287801
J. Morris Foster,"1881","1966",nm0287854,nm0287854
William C. Foster,"1880","1923",nm0288119,nm0288119
Frank Powell,"1877",\N,nm0288616,nm0288616
Evelyn Fowler,\N,\N,nm0288704,nm0288704
Norman Fowler,\N,\N,nm0288778,nm0288778
Edward Lyell Fox,\N,\N,nm0288971,nm0288971
John Fox Jr.,"1862","1919",nm0289073,nm0289073
William Fox,"1879","1952",nm0289301,nm0289301
Earle Foxe,"1887","1973",nm0289317,nm0289317
Harry Fragson,"1869","1913",nm0289613,nm0289613
C.A. Frambers,\N,\N,nm0289722,nm0289722
Anatole France,"1844","1924",nm0289787,nm0289787
Charles H. France,"1869","1940",nm0289797,nm0289797
Alec B. Francis,"1867","1934",nm0290066,nm0290066
Helen Francis,\N,\N,nm0290176,nm0290176
Evelyn Francis,\N,\N,nm0290260,nm0290260
Paul Franck,"1870","1947",nm0290445,nm0290445
Billy Franey,"1889","1940",nm0290767,nm0290767
Alexander F. Frank,"1866","1939",nm0290822,nm0290822
J. Herbert Frank,"1885","1926",nm0290962,nm0290962
Julius Frankenburg,\N,\N,nm0291274,nm0291274
Chester M. Franklin,"1890","1954",nm0291387,nm0291387
Nell Franzen,"1889","1973",nm0291877,nm0291877
Fraunie Fraunholz,"1876","1938",nm0292407,nm0292407
Jack Frawley,\N,\N,nm0292418,nm0292418
William Frawley,"1887","1966",nm0292433,nm0292433
Frank Frayne,"1863","1938",nm0292453,nm0292453
Edwin Frazee,"1881",\N,nm0292470,nm0292470
Elizabeth Frazer,\N,\N,nm0292503,nm0292503
Robert Frazer,"1891","1944",nm0292537,nm0292537
Pauline Frederick,"1883","1938",nm0292810,nm0292810
Frederic Arnold Kummer,"1873","1943",nm0292827,nm0292827
Philippa Frederiksen,"1870","1955",nm0292908,nm0292908
Helen Freeman,"1886","1960",nm0293415,nm0293415
Elvira Fremont,\N,\N,nm0294022,nm0294022
Bert French,"1883","1924",nm0294045,nm0294045
Caroline French,\N,\N,nm0294056,nm0294056
Charles K. French,"1860","1952",nm0294058,nm0294058
Georgia French,"1911","1994",nm0294090,nm0294090
Theo Frenkel Jr.,"1893","1955",nm0294268,nm0294268
Theo Frenkel,"1871","1956",nm0294276,nm0294276
Berta Friedrichová,"1892","1975",nm0295457,nm0295457
Axel Frische,"1877","1956",nm0295843,nm0295843
Victor Frith,"1888",\N,nm0295961,nm0295961
Johanne Fritz-Petersen,"1879","1961",nm0296083,nm0296083
Else Frölich,"1880","1960",nm0296178,nm0296178
Carl Froelich,"1875","1953",nm0296193,nm0296193
Daniel Frohman,"1851","1940",nm0296245,nm0296245
Maria Fromet,"1902","1967",nm0296344,nm0296344
Albert Froom,"1866","1940",nm0296433,nm0296433
Arrigo Frusta,"1875","1965",nm0296703,nm0296703
Einar Fröberg,"1875","1934",nm0297039,nm0297039
Oskar Fuchs,"1866","1927",nm0297269,nm0297269
Francisco Fuentes hijo,\N,\N,nm0297368,nm0297368
Francisco Fuentes,\N,\N,nm0297416,nm0297416
Ludwig Fulda,"1862","1939",nm0298080,nm0298080
Loie Fuller,"1862","1928",nm0298291,nm0298291
Martin Fuller,\N,\N,nm0298300,nm0298300
Mary Fuller,"1888","1973",nm0298301,nm0298301
Valentine Fulton,\N,\N,nm0298513,nm0298513
Tronier Funder,"1884","1964",nm0298614,nm0298614
Barney Furey,"1882","1938",nm0298854,nm0298854
Grace Livingston Furniss,"1864","1938",nm0299052,nm0299052
Harry Furniss,"1854","1925",nm0299053,nm0299053
Jules Furthman,"1888","1966",nm0299154,nm0299154
Jacques Futrelle,"1875","1912",nm0299421,nm0299421
Maurice de Féraudy,"1859","1932",nm0299674,nm0299674
Aage Fønss,"1887","1976",nm0299757,nm0299757
Olaf Fønss,"1882","1949",nm0299761,nm0299761
Conchita Gach,\N,\N,nm0300444,nm0300444
Urban Gad,"1879","1947",nm0300487,nm0300487
Alexander Gaden,"1873","1958",nm0300561,nm0300561
Robert Gage,\N,\N,nm0300837,nm0300837
Jane Gail,"1889","1963",nm0301187,nm0301187
Robert Gaillard,"1868","1941",nm0301252,nm0301252
Avelino Galcerán,\N,\N,nm0301787,nm0301787
Minna Gale,"1869","1944",nm0301888,nm0301888
Henrik Galeen,"1881","1949",nm0301961,nm0301961
Leonard Galezio,"1891","1965",nm0302025,nm0302025
Donald Gallaher,"1895","1961",nm0302368,nm0302368
Ray Gallagher,"1885","1953",nm0302477,nm0302477
Señor Gallart,\N,\N,nm0302647,nm0302647
Alberta Gallatin,"1861","1948",nm0302661,nm0302661
El Gallo,\N,\N,nm0303023,nm0303023
Mario Gallo,"1878","1945",nm0303066,nm0303066
Carmine Gallone,"1885","1973",nm0303120,nm0303120
Fred Gamble,"1868","1939",nm0303780,nm0303780
Abel Gance,"1889","1981",nm0304098,nm0304098
Alfred Gandolfi,"1882","1963",nm0304183,nm0304183
Nolan Gane,"1892","1915",nm0304236,nm0304236
Ferruccio Garavaglia,"1868","1912",nm0304862,nm0304862
Al Ernest Garcia,"1887","1938",nm0305087,nm0305087
Angel García Cardona,\N,\N,nm0305591,nm0305591
Antonio García Gutiérrez,\N,\N,nm0305683,nm0305683
Aage Garde,"1876","1955",nm0306604,nm0306604
Vladimir Gardin,"1877","1965",nm0306723,nm0306723
Albert Gardner,\N,\N,nm0306817,nm0306817
Bert Gardner,\N,\N,nm0306837,nm0306837
Cyril Gardner,"1898","1942",nm0306875,nm0306875
Helen Gardner,"1884","1968",nm0306947,nm0306947
Louis B. Gardner,\N,\N,nm0307036,nm0307036
M.B. Gardner,\N,\N,nm0307038,nm0307038
Clyde Garner,\N,\N,nm0307693,nm0307693
Robert-Jules Garnier,"1883","1958",nm0307872,nm0307872
Richard Garrick,"1878","1962",nm0308257,nm0308257
Claude Garry,"1877","1918",nm0308551,nm0308551
William Garwood,"1884","1950",nm0308848,nm0308848
Charles L. Gaskill,"1870","1943",nm0309130,nm0309130
Elizabeth Gaskins,\N,\N,nm0309149,nm0309149
Louis J. Gasnier,"1875","1963",nm0309163,nm0309163
José Gaspar,\N,\N,nm0309186,nm0309186
Mae Gaston,"1885","1962",nm0309460,nm0309460
Eleanor Gates,"1875","1951",nm0309557,nm0309557
Harvey Gates,"1889","1948",nm0309567,nm0309567
Tony Gaudio,"1883","1951",nm0309974,nm0309974
Gene Gauntier,"1885","1966",nm0310155,nm0310155
Théophile Gautier,"1811","1872",nm0310375,nm0310375
Howard Gaye,"1878","1955",nm0310844,nm0310844
George Gebhardt,"1879","1919",nm0311375,nm0311375
Hortensia Gelabert,\N,\N,nm0312146,nm0312146
José María Gelabert,\N,\N,nm0312148,nm0312148
Robert Gemp,"1864","1932",nm0312600,nm0312600
Jorge Gentil,\N,\N,nm0313043,nm0313043
Annie Gentile,\N,\N,nm0313055,nm0313055
Maude George,"1888","1963",nm0313532,nm0313532
Rosemonde Gerard,"1866","1953",nm0313993,nm0313993
Alicia Gerart,\N,\N,nm0314025,nm0314025
Neva Gerber,"1891","1974",nm0314138,nm0314138
Edward German,"1862","1936",nm0314521,nm0314521
Mariya Germanova,"1884","1940",nm0314567,nm0314567
Douglas Gerrard,"1891","1950",nm0314700,nm0314700
Baby Marie Gereghty,"1910",\N,nm0314765,nm0314765
Harry W. Gerstad,"1886","1966",nm0314898,nm0314898
Alberto Ghira,"1888","1971",nm0315793,nm0315793
Joseph Giampietro,"1866","1913",nm0316220,nm0316220
Olga Giannini Novelli,"1867",\N,nm0316269,nm0316269
Rose Gibbons,"1880","1964",nm0316595,nm0316595
Robert Paton Gibbs,"1860","1941",nm0316728,nm0316728
Charles Giblyn,"1871","1934",nm0316794,nm0316794
Charles Dana Gibson,"1867","1944",nm0316890,nm0316890
Dorothy Gibson,"1889","1946",nm0316947,nm0316947
Ethelyn Gibson,"1897","1972",nm0316958,nm0316958
Florence Gibson,"1870","1953",nm0316960,nm0316960
Hardy Gibson,\N,\N,nm0316987,nm0316987
Harry Gibson,\N,\N,nm0316989,nm0316989
Helen Gibson,"1892","1977",nm0316993,nm0316993
Hoot Gibson,"1892","1962",nm0316995,nm0316995
Patricia Palmer,"1894","1964",nm0317098,nm0317098
W.A. Gibson,"1870","1929",nm0317210,nm0317210
Al Giebler,"1872","1950",nm0317319,nm0317319
Ada Gifford,"1885",\N,nm0317505,nm0317505
Antonio Gil Varela 'Varillas',"1895","1937",nm0317715,nm0317715
Lewis Gilbert,"1862","1925",nm0318149,nm0318149
Billy Gilbert,"1891","1961",nm0318274,nm0318274
Harry Gilbey,\N,\N,nm0318306,nm0318306
Johan Gildemeijer,"1871","1945",nm0318397,nm0318397
Daniel Gilfether,"1849","1919",nm0318516,nm0318516
Charles Gilhuys,"1881","1955",nm0318560,nm0318560
Robert Stowe Gill,"1880","1918",nm0318730,nm0318730
Edward Gillespie,"1874","1918",nm0318928,nm0318928
Thomas Gillette,\N,\N,nm0319067,nm0319067
Rufus Gillmore,\N,\N,nm0319358,nm0319358
Ada Gilman,"1854","1921",nm0319421,nm0319421
Pauline Gilmer,"1899","1993",nm0319483,nm0319483
Barney Gilmore,"1865","1949",nm0319498,nm0319498
Helen Gilmore,"1872","1936",nm0319532,nm0319532
Paul Gilmore,"1873","1962",nm0319564,nm0319564
William Gilson,\N,\N,nm0319713,nm0319713
Pedro Giralt y Alemany,\N,\N,nm0320618,nm0320618
Joseph W. Girard,"1871","1949",nm0320681,nm0320681
Etienne Girardot,"1856","1939",nm0320761,nm0320761
Edouard Giraudier,\N,\N,nm0320817,nm0320817
Dorothy Gish,"1898","1968",nm0321088,nm0321088
Ottar Gladvedt,"1890","1962",nm0321652,nm0321652
Solveig Gladvedt,\N,\N,nm0321653,nm0321653
Marc Glassman,\N,\N,nm0322096,nm0322096
Louise Glaum,"1888","1970",nm0322170,nm0322170
Adda Gleason,"1888","1971",nm0322284,nm0322284
Harry Gleizer,\N,\N,nm0322485,nm0322485
Rochus Gliese,"1891","1978",nm0322843,nm0322843
Samuel M. Gluckstein,\N,\N,nm0323256,nm0323256
Elinor Glyn,"1864","1943",nm0323325,nm0323325
Agnes Glynne,"1894","1981",nm0323379,nm0323379
David W. Gobbett,"1884",\N,nm0323571,nm0323571
Charles W. Goddard,"1879","1951",nm0323766,nm0323766
Nicolas Godin,"1969",\N,nm0324073,nm0324073
Fred Goebel,"1891","1964",nm0324317,nm0324317
R. Henry Grey,"1891","1934",nm0324438,nm0324438
Johann Wolfgang von Goethe,"1749","1832",nm0324473,nm0324473
Ben Goetz,"1891","1979",nm0324500,nm0324500
Carl Goetz,"1862","1932",nm0324501,nm0324501
Nikolay Gogol,"1809","1852",nm0324690,nm0324690
Henri Goidsen,\N,\N,nm0324776,nm0324776
Joseph A. Golden,\N,"1942",nm0325448,nm0325448
Sidney M. Goldin,"1878","1937",nm0325670,nm0325670
Oliver Goldsmith,"1730","1774",nm0326117,nm0326117
Jennie Goldstein,"1895","1960",nm0326235,nm0326235
Zina Goldsztejn,\N,\N,nm0326341,nm0326341
John Goldsworthy,"1884","1958",nm0326378,nm0326378
Vasili Goncharov,"1861","1915",nm0327201,nm0327201
Aleksandra Goncharova,"1888","1969",nm0327206,nm0327206
Isabel Gonzales,\N,\N,nm0327494,nm0327494
Myrtle Gonzalez,"1891","1918",nm0327762,nm0327762
Félix González Llana,\N,\N,nm0327955,nm0327955
Manuel González,\N,\N,nm0328322,nm0328322
Marina González,\N,\N,nm0328341,nm0328341
Grace Goodall,"1889","1940",nm0328757,nm0328757
Jack Goodall,\N,\N,nm0328760,nm0328760
Joe Goodboy,\N,\N,nm0328782,nm0328782
Coley Goodman,"1881","1938",nm0329035,nm0329035
Daniel Carson Goodman,"1881","1957",nm0329039,nm0329039
Henrietta Goodman,\N,\N,nm0329093,nm0329093
Jules Eckert Goodman,"1876","1962",nm0329136,nm0329136
Ludloe Goodman,\N,\N,nm0329167,nm0329167
Robert Goodman,\N,\N,nm0329212,nm0329212
Edna Goodrich,"1883","1971",nm0329303,nm0329303
Greta Goodstadt,\N,\N,nm0329395,nm0329395
Nat C. Goodwin,"1857","1919",nm0329522,nm0329522
Fred Goodwins,"1891","1923",nm0329573,nm0329573
Georges Gorby,"1862","1948",nm0329822,nm0329822
Jacob Gordin,"1853","1909",nm0329924,nm0329924
Harris Gordon,"1884","1947",nm0330242,nm0330242
Jack Gordon,"1904","1974",nm0330273,nm0330273
James Gordon,"1871","1941",nm0330280,nm0330280
Julia Swayne Gordon,"1878","1933",nm0330352,nm0330352
Lawrence Gordon,\N,\N,nm0330384,nm0330384
Maude Turner Gordon,"1868","1940",nm0330442,nm0330442
Phyllis Gordon,"1889","1964",nm0330526,nm0330526
Thomas Gordon,\N,\N,nm0330637,nm0330637
Charles Gorman,"1865","1928",nm0331049,nm0331049
John Gorman,"1884","1936",nm0331084,nm0331084
Charles Frederick Goss,\N,\N,nm0331555,nm0331555
John Gottowt,"1881","1942",nm0332024,nm0332024
Ellen Gottschalch,"1894","1981",nm0332028,nm0332028
Louis F. Gottschalk,"1864","1934",nm0332045,nm0332045
Gouget,\N,\N,nm0332181,nm0332181
Henri Gouget,\N,\N,nm0332182,nm0332182
John Gough,"1894","1968",nm0332217,nm0332217
Milton S. Gould,\N,\N,nm0332454,nm0332454
Axel Graatkjær,"1885","1969",nm0333175,nm0333175
Henry Grady,\N,\N,nm0333598,nm0333598
Louise Graganza,\N,\N,nm0333862,nm0333862
Ben Graham,"1851","1924",nm0333924,nm0333924
Suzanne Grandais,"1893","1920",nm0334788,nm0334788
Ethel Grandin,"1894","1988",nm0334873,nm0334873
Madeleine Grandjean,\N,\N,nm0334899,nm0334899
Francis J. Grandon,"1879","1929",nm0334918,nm0334918
Corinne Grant,"1884","1970",nm0335321,nm0335321
Nellie Grant,\N,\N,nm0335584,nm0335584
Fred LeRoy Granville,"1886","1932",nm0335752,nm0335752
Charley Grapewin,"1869","1956",nm0335788,nm0335788
Stephen Grattan,"1870","1930",nm0336025,nm0336025
Fernand Gravey,"1905","1970",nm0336380,nm0336380
Gabriel de Gravone,"1887","1972",nm0336414,nm0336414
Betty Gray,"1895","1919",nm0336471,nm0336471
Mary Gray,\N,\N,nm0336818,nm0336818
Maxwell Gray,"1846","1923",nm0336824,nm0336824
Robert Gray,"1881","1963",nm0336910,nm0336910
William B. Gray,\N,\N,nm0337010,nm0337010
Joseph Graybill,"1887","1913",nm0337033,nm0337033
Donald Grayson,"1908","1958",nm0337083,nm0337083
Evelyn Greeley,"1888","1975",nm0337556,nm0337556
Alfred E. Green,"1889","1960",nm0337586,nm0337586
Dorothy Green,"1892","1963",nm0337801,nm0337801
Judd Green,"1857","1932",nm0338028,nm0338028
Tom Green,"1852","1942",nm0338379,nm0338379
Josef Greenbaum,\N,\N,nm0338465,nm0338465
Jules Greenbaum,"1867","1924",nm0338466,nm0338466
Clay M. Greene,"1850","1933",nm0338708,nm0338708
Kempton Greene,"1889","1939",nm0338824,nm0338824
Mabel Greene,"1886","1916",nm0338850,nm0338850
Robert Greene,\N,\N,nm0338906,nm0338906
Reeva Greenwood,\N,"1972",nm0339379,nm0339379
Winifred Greenwood,"1885","1961",nm0339408,nm0339408
Elsie Greeson,"1895","1995",nm0339499,nm0339499
Carl Gregory,"1882","1951",nm0339765,nm0339765
Fannie Gregory,\N,\N,nm0339808,nm0339808
Mildred Gregory,"1895","1956",nm0339901,nm0339901
Zoe Gregory,\N,\N,nm0339974,nm0339974
René Gréhan,\N,\N,nm0340020,nm0340020
Frida Greiff,"1884","1959",nm0340045,nm0340045
Clifford Grey,"1887","1941",nm0340540,nm0340540
Hetty Grey,\N,\N,nm0340584,nm0340584
Jane Grey,"1883","1944",nm0340593,nm0340593
Olga Grey,"1896","1973",nm0340651,nm0340651
Phyllis Grey,"1887","1922",nm0340657,nm0340657
Rebe Grey,\N,\N,nm0340664,nm0340664
Zane Grey,"1872","1939",nm0340719,nm0340719
Harry Gribbon,"1885","1961",nm0340807,nm0340807
Frank Griffin,"1886","1953",nm0341185,nm0341185
Beverly Griffith,"1887","1970",nm0341442,nm0341442
Gordon Griffith,"1907","1958",nm0341503,nm0341503
Harry Griffith,"1866","1926",nm0341512,nm0341512
Katherine Griffith,"1876","1921",nm0341554,nm0341554
Domenico Grimaldi,\N,\N,nm0342109,nm0342109
Jacob Grimm,"1785","1863",nm0342278,nm0342278
Wilhelm Grimm,"1786","1859",nm0342303,nm0342303
Harry Gripp,"1889","1953",nm0342510,nm0342510
Antonio Grisanti,"1859","1914",nm0342541,nm0342541
Louis R. Grisel,"1849","1928",nm0342563,nm0342563
James Griswold,"1882","1935",nm0342658,nm0342658
Andrey Gromov,"1887","1922",nm0343043,nm0343043
Leonard Grover,"1858","1947",nm0344029,nm0344029
Fred Groves,"1880","1955",nm0344059,nm0344059
Jacques Grétillat,"1885","1950",nm0344930,nm0344930
Georg Grönroos,"1885","1927",nm0344981,nm0344981
Adrià Gual,"1872","1946",nm0345217,nm0345217
Enrico Guazzoni,"1876","1949",nm0345500,nm0345500
Señora Guerra,\N,\N,nm0346090,nm0346090
María Guerrero,"1867","1928",nm0346225,nm0346225
Arthur Guest,"1857","1937",nm0346387,nm0346387
Guibernat,\N,\N,nm0346652,nm0346652
Paul Guidé,"1884","1940",nm0346808,nm0346808
Luis Guilemany,\N,\N,nm0346933,nm0346933
Marcel Guillemaud,"1867","1924",nm0347058,nm0347058
Àngel Guimerà,"1847","1924",nm0347320,nm0347320
Wyndham Guise,"1859","1934",nm0347532,nm0347532
Enrique Guitart padre,\N,\N,nm0347565,nm0347565
Enrique Guitart,"1909","1999",nm0347566,nm0347566
Trini Guitart,\N,\N,nm0347571,nm0347571
Aagot Gundersen,\N,\N,nm0348052,nm0348052
Jens Christian Gundersen,"1868","1945",nm0348062,nm0348062
Archibald Clavering Gunter,"1847","1907",nm0348348,nm0348348
Val Gurney,"1889","1930",nm0348701,nm0348701
Eliseo Gutiérrez,"1885","1929",nm0349492,nm0349492
Alice Guy,"1873","1968",nm0349785,nm0349785
Cécile Guyon,"1890","1927",nm0349907,nm0349907
Dorothy Gwynne,\N,\N,nm0350376,nm0350376
Gyp,"1850","1932",nm0350514,nm0350514
Fernando Gálvez,"1876",\N,nm0350628,nm0350628
Adolf Gärtner,"1867","1958",nm0350695,nm0350695
Firmin Gémier,"1869","1933",nm0350759,nm0350759
Marc Gérard,\N,\N,nm0350802,nm0350802
Valentín Gómez,\N,\N,nm0351275,nm0351275
Sándor Góth,"1869","1946",nm0351331,nm0351331
Gyula Gózon,"1885","1972",nm0351333,nm0351333
Andrea Habay,"1883","1941",nm0352120,nm0352120
Gertrud Hackelberg,\N,\N,nm0352399,nm0352399
Albert Hackett,"1900","1995",nm0352443,nm0352443
Florence Hackett,"1880","1954",nm0352454,nm0352454
James K. Hackett,"1869","1926",nm0352461,nm0352461
Jeanette Hackett,"1898","1979",nm0352463,nm0352463
Raymond Hackett,"1902","1958",nm0352495,nm0352495
William F. Haddock,"1877","1969",nm0352726,nm0352726
Hilde Hadges,\N,\N,nm0352805,nm0352805
Bert Hadley,"1882","1968",nm0352873,nm0352873
Raymond Hadley,\N,\N,nm0352913,nm0352913
Walter Haggar,"1880","1953",nm0353575,nm0353575
William Haggar,"1851","1925",nm0353576,nm0353576
H. Rider Haggard,"1856","1925",nm0353584,nm0353584
Justus Hagman,"1859","1936",nm0353770,nm0353770
Mia Hagman,"1863","1948",nm0353774,nm0353774
Paul Hagman,"1887","1964",nm0353775,nm0353775
Eugene H. Hagy,\N,\N,nm0353855,nm0353855
Philip Hahn,"1884","1976",nm0353956,nm0353956
Rhea Haines,"1894","1964",nm0354282,nm0354282
Louis Halberstadt,"1880","1961",nm0354726,nm0354726
Bert Haldane,"1867","1937",nm0354790,nm0354790
Edith Haldeman,"1905","1984",nm0354803,nm0354803
Hans Halder,"1888","1973",nm0354812,nm0354812
Albert W. Hale,"1882","1947",nm0354845,nm0354845
Charles H. Hale,\N,\N,nm0354872,nm0354872
Creighton Hale,"1889","1965",nm0354878,nm0354878
J.S. Hale,\N,\N,nm0354925,nm0354925
Walter Hale,"1869","1917",nm0355030,nm0355030
Merton Haley,\N,\N,nm0355111,nm0355111
